#本表聲旁及轄字無重覆。
⺽	⺽䳔閰
〇	〇
㐁	㐁
㐄	㐄
㐬	㐬䖻旒毓流琉瑬硫裗
㐭	㐭凛凜壈廩廪懍懔檁燣燷癛禀稟顲
㐱	㐱䪾抮殄沴珍畛疹眕紾胗袗診诊趁跈軫轸飻餮駗
㒸	㒸䃍䉌䯟坠墜鐆队隊
㒼	㒼䊟䝡䤍慲懑懣樠满滿璊瞒瞞蹒蹣鏋顢颟鬗
㓞	㓞㝣㼤䐼䝟䥛䫔䱮偰啮喫契挈揳栔楔潔猰瘛禊稧窫絜葜蛪褉觢鍥锲齧
㓹	㓹瀱罽蘮
㔷	㔷陋
㔾	䈈圮妃嶏淝肥萉蜰配
㕞	㕞刷唰涮
㕟	㕟䈛蒯
㕡	㕡壑
㕢	㒠㕢䪥瀣薤韰
㕣	㔯㕣㳂沿舩船鈆鉛铅
㕦	㕦
㗊	㗊
㘝	㘝笝
㚅	㚅䃧䥢癃窿隆霳
㚇	㚇㣭䁓䎫堫嵕椶猣稯糉緵翪艐葼蝬騣鬉鬷鯼
㚒	㚒陕陝
㚔	㚔
㚘	㚘
㝵	㝵㥂㧹䎪䙷得棏淂
㞋	㜛㞋㫱㬄㼱嫩赧軟软
㞢	㞢
㞷	㞷往暀
㠭	㠭
㠯	㠯䬮以似佀姒泤耜苡苢
㡀	㡀㢼䘷䭱䳤
㡭	㡭檵繼继
㡲	㡲
㡿	泝訴诉
㣇	㣇㣈肂肄肆蕼
㤅	㤅
㥯	㒚㡥㥯㶏䌥䭡嶾懚檼櫽瘾癮稳穩隐隱
㦰	㦰
㩊	㩊
㫃	㫃
㫐	㞁㫐䆞梎窅
㬎	㙷㬎㬤䏉䜙儑显湿溼漯濕礘隰韅顯
㱚	㱚
㱿	㜌㝅㱿㲄㲉㷤䍍䐨嗀壳彀悫愨榖殼毂瀔瑴瞉穀糓縠螜觳豰轂鷇
㳄	㳄䢭羡羨
㶣	㶣覝
㸒	㸒婬淫霪
㸚	㸚
㹜	㹜
㼌	㼌窳
㿟	㿟
䀠	㪺䀠
䍃	䁘䍃䔄䚻䠛傜嗂媱徭愮搖摇榣猺瑤瑶窰謠謡谣遙遥鎐颻飖鰩鳐鷂鹞
䏌	䏌佾洕
䖒	㚀㺣䖒嚱巇戏戲隵
䖜	䖜
䙴	䉦䙴僊櫏跹蹮躚遷韆
䚘	䚘
䜌	㝈㪻㱍䘎䜌变圝娈孌孪孿峦巒弯彎恋戀挛攣曫栾欒湾滦灓灣灤矕羉脔臠蛮蠻變銮鑾鸞鸾
䡓	䡓
䧹	䧹噟应應膺譍鷹鹰
䨳	䨳
䨿	㒎㗺㩑㪪䙣䨿䪞
䩗	䩗
䩶	䩶
䭆	䭆
䭴	䭴
䲜	䲜
䵞	䵞
一	一弌
丁	㼗䆑䟓䦺丁仃叮圢奵庁忊打朾汀玎町疔盯矴耵艼虰訂订酊釘钉靪頂顶飣饤
丂	㤍㱙㽲䲾丂巧攷朽
七	㲺七叱柒齔龀
万	万
丈	㽴丈仗杖
三	三弎
上	丄上
下	丅下芐
不	不抔杯盃紑罘肧芣衃鴀
与	与
丏	㴐丏汅沔眄麪
丐	丐匃匄鈣钙
丑	䂇䏔䖡丑妞峱忸扭杻沑狃粈紐纽羞莥衄鈕钮
且	㚗㡹䃊䏣䔃䢐䢸且伹俎刞咀坥姐岨徂怚抯柤殂沮狙珇疽砠祖租笡粗組组罝苴菹葅蒩蛆袓觕詛诅豠趄跙鉏阻雎靻飷駔驵麆齟龃
丕	㔻䪹䲹丕伾呸坯岯怌秠胚豾邳鉟駓髬魾
世	㔺㰥世丗勩卋呭屉屜抴枻泄疶紲绁袣詍貰贳跇迣靾齛
丘	丘丠蚯邱
丙	丙寎怲昞昺柄炳病窉苪蛃邴鈵
並	䰃並湴碰竝踫
丨	丨
丩	㽱䡂丩叫嘂朻糾纠芁虬虯觓訆赳鼼
个	个
丫	丫
中	中仲冲忠忡沖浺盅种翀衷
丮	丮谻
丯	丯
丰	㭋丰仹妦玤肨蚌
丱	丱卝
串	䍺串患槵漶贃
