# Probably should use them only for words difficult to spell 
# These are the characters recommended for ideographic borrowing 

〇	zero, null; circle 
㐁	mat 
㐄	foot 
㐬	to flow 
㐭	barn 
㐺乑众	multiple people 
㕞刷	to brush, to scrub 
㗊	noisy 
㚒	to clamp 
㚔	handcuff 
㚘	companionship 
㝵	to obtain, to get 
㞢	cow head 
㠭展	to spread, to extend, to exhibit 
㠯	a bagful of things 
㡭繼继	to continue 
㤫	virtue 
㥯	careful 
㦰	to sever, to terminate 
㪔	to dissipate, to disperse 
㫃	flag 
㬎显	to appear, to be visible 
㱕归	to return, to go back 
㱚	to harm, to injure, to cripple 
㱿壳	shell, husk 
㳄	saliva 
㹜	to bark 
䀠	scared 
䍃	jar, pitcher 
䍜	birdcage 
䜌	to be connected, to be related 
䧹	eagle 
䩻	tyrant, usurper, hegemony 
䲜	abundant of fish 
一	one 
丁	fourth 
丂	walking stick 
七	seven 
万	ten thousand 
丈	length unit about 3 meters 
三	three 
上	up, above 
下	down, below 
丌	stand, support 
不	not 
与	and, with 
丐	to beg for alms, beggar 
丑	nail 
且	also; in addition 
世	world; era; leaf 
丘	hill 
丙	third; small table 
並竝	side by side; moreover, furthermore, meanwhile 
丩	entangled, twisted 
个	single; a single stalk of bamboo 
丫	split end 
中	middle 
丮	to catch, to get 
丯㓞	to carve, to engrave 
丰	corpulent 
串	penetrate and string together 
丸	small round object 
丹	red 
主	lord, owner 
丽麗	antler 
乂	scythe, reaper, sickle 
乃	milk 
久	durable 
之	of 
乍	to work 
乏	to lack, poor; tired 
乖	rebellious, unruly 
乗乘	to ride 
乙	second (order) 
九	nine 
乞	to beg for 
也	also 
乳	milk 
亂乿乱	mess 
了	perfective marker 
予	to give 
事	matter 
二	two 
于	at 
云	cloud 
互	each other, reciprocal 
五㐅	five 
井	(water) well 
亙	stretch, continuous, complete 
些	some 
亞亚	Swiss cross shape 
亟	urgent 
亡	death; blade 
亢	neck 
交	to cross over 
亦	alse; armpit 
京	capital 
亮	bright 
亯	shrine 
亲	firewood 
亷	upright, honorable, honest 
人	human 
仁	compassionate, kind, lenient 
今	now; to hum 
仌	ice 
从	to follow 
付	to hand over 
仙	immortal being, celestial being 
代	to replace; era 
令	to order 
以	instrumental marker 
件	item 
企	to stand 
伇	to hire, to enslave 
伏	to lie prostrate, to crawl 
伐	to cut down 
休	to rest 
位	position, spot, seat 
体	body 
何	what 
余舍	cottage
來来麥麦	to come; wheat 
侖仑	reason, order 
侯矦	marquis; lord; target 
便	convenient; to whip 
保	to protect 
信㐰	to believe; credit; message 
倉仓	storage 
傘伞仐	umbrella 
備备	to prepare, ready 
僅仅	only 
僉佥	together 
億	hundred million 
允	to allow 
元	head, origin 
兄	elder brother 
充	to fill 
兆	trillion; omen 
先	first, ahead, before 
光	light 
兌兑	to speak 
免	to exempt from 
兒	child 
兔㲋	rabbit 
入	to enter 
內内	interior 
全	all 
兩两	two 
八	eight 
公	public; male 
六	six 
共	common, shared 
兵	soldier 
其	a tool similar to pan or basket, with one flat side 
具	equipment 
典	canon 
兼	to do two things at the same time 
冃	hat 
冉	long beard, long hair, long fur 
冊册	book 
再	again, once more 
冎呙骨	bone 
冓	to meet, to encounter 
冖冂	cover 
冗	superfluous, spare 
冡	to cover 
冤	unjust 
冥	dim, gloomy 
冬	winter 
几	table, stool 
凡	ordinary; plate, bowl 
凵	pit 
凶	danger 
凷	clod, lump
凸	protruding, convex 
凹	concave
出	to exit 
函	box, case, container 
凿	to chisel 
刀	knife 
刃	blade 
分	to divide 
列	to tear, to split 
初	beginning 
別别	to divide, to separate 
利	benefit 
刪删	to delete 
制	to make; to regulate, to restrict, to control 
則则	rule, law 
