#####從省從古字型編外的#####
尊	寸
昷	𥁕
#孝老	耂
農	莀
憂	㥑
共	廾
殿	凥
釐	𠩺
罔	网
難嘆	𦰩
散	㪔
鑿	凿
竟兢競	竞
綌	卻
化	𠤎
肇	肁
秭	𠂔
親	辛
秭	𠂔
麗	丽
益	泴
羅	䍜
冥幂	冖
兩	㒳
那冉	冄
厚	㫗
㔾	卩
叟	叜
貞鼎	貝	僅形同，與「貝」形不同源
鼓	壴
晃光	灮
宮	宫
差左	𠂇
年	禿
䏌	屑
折	析
敬	茍
暴	㫧
曇	昙
#更	㪅
曹	㯥
替	㚘
服	𠬝
獸	嘼
畺	畕
疊	晶
盍	盇
眾乑	众
祟	柰
繁緐	䋣
緜	綿
熊	能
蒦	隻
質	斦
贊	賛
頻	涉
夂	夊
蠱	蛊
㡭	㕕
熒	炏
府付	仅
圖	回
保	仔
乘	㚓
廛	庄
役	伇
意	悥
殷	㐆
糸	幺
儥	𧶠
雙	双
畫	画
龜	龟
黽	黾
咶	舌
#####從上級聲旁的#####
吾	五
冒	冃
蚤	㕚
翠	卒
考	丂
坴圥	六
遂	㒸
筆	聿
酋	酉
崇	宗
科委	禾
奉夆豐封邦逢	丰
蒙	冡
尌	豆
重童	東
屬	蜀
最聚	取
悤㚇	囪	㚇從布之道、裘錫圭說
從	从
空巩貢	工
斛	角
卷	龹
數	婁
庸甬	用
貫	毌
否丕咅	不
背	北
卞	弁
盆彬	分
費	弗
薨	瞢
任	壬
在哉	才
吏事	史
賊	則
朁兓	兂
愛㤅既	旡
酓含侌禽岑	今
圣灰有右㞢	又
員袁睘	〇
波	皮
番	釆
發癹	癶
孟	皿
莽	茻
屠諸署暑豬都著書	者
黨堂敞當	尚
到召	刀
然	肰
虘查助	且
將臧壯牆	爿
喪	桑
霜	相
孱	孨
蔡	祭
賈	襾
固胡辜居	古
渠	巨
英	央
阿奇哥	可
旱	干
晏	安
匽	妟
丐曷	匄
獻	鬳
艾辥豙枿	乂
肴	爻
矍瞿	䀠
廣	黃
㞷匡狂	王
咼叧	冎
雚	雈
宛	夗
厥	欮
閭	呂
盧虜慮膚虎處虖乎虛豦	虍
路客	各
與舁	与
達羍	大
舍除	余
閻	臽
毘坒比	匕
鼻	畀
密宓謐瑟	必
致室	至
圼	日
津盡	隶
新	辛
稽耆	旨
殹	医
弦	玄
幼幽	幺
屖	尸
繇	䍃
崩	朋
敝	㡀
覓派	𠂢
寧	寍
責	朿
前	歬
韱	㦰
嬰	賏
鬩	兒
㓞	丯
垚	堯
厭	猒
歷厤	秝
聖廷呈戜	𡈼
枼	世
霸	䩗
國	或
條	攸
闌	柬
御卸	午
義	我
衛韋	囗
鹽	監
施	也
等特寺時市蚩臺志	之
尃	甫
亭定正成	丁
式代	弋
庶度席橐宕	石
那	冄
亶	旦
春	屯
風	凡
布	父
嚴	敢
喬	高
砉	圭
弘穹躬	弓
景	京
局	句
收	丩
麋	米
麥猌	來
胥楚	疋
巟	亡
感	咸
烕	戌
忽	勿
羌養	羊
哀	衣
夜	亦
恩	因
雩夸亏粵	于
位	立
完	元
字	子
㕟蒯	凷
褱鰥	眔
遺	貴
君	尹
屈	出
專惠	叀
思䙴	囟
閔吝	文
禁	林
台㠯	厶
普	並
旁	方
百	白
展	㠭
匿	若
脅	劦
劉留	卯
廉	兼
䜌	聯
賴	剌
危	厃
亨	享
包	勹
追垖	𠂤
㡿	屰	#從布之道說
斥	乇	#即㡯，從布之道說
道	首
倝	㫃
於	烏
刁	刀
每敏毋	母
㚅	夅
冋	冂
約	勺
切	七
剝	彔
匀軍訇	旬
鄉	卿
彥產炭	厂
厓	圭
參	彡
受	舟
臨	品
康唐	庚
啇	帝
壹	吉
夋舜	允
奴如	女
宣	亘
憲	害
容翁松	公
少肖雀	小
履	眉
翕弇荅	合
徙	沙
忝	天
戛	頁
戴	戠
青星省	生
朔	屰
歲	戉
乞	气
裘	求
穌魯	魚
兹	絲
翌	異
耶	牙
臤	臣
素	索	同字分化
袞	㕣
赫	赤
隋	隓
節	即
守	肘
曼	夐
#####替代的#####筆畫繁複的單字，有異體的單字，不常見的單字，構型不明的單字
磊累厽畾	雷
彪	髟
匘	夒	#從布之道、陳劍之說
無	无
畞	母
疐	斦	（質）
盥	雈
筭	算
粟	束
爾	尒
褭	鳥
厲萬	万
奪	兌
兜	豆
塵	尘
夲	舀
羋	咩
嵒	敢
巜	會
暹	㦰
曄	華
杳	要
焚	分
羈	可	奇
羹	更
胤	引
#臱	扁
#####同形的#####
唯椎淮崔隼	隹
蟲虺	虫
狖冗	宂
橇	毳
奔賁	卉
咢	噩
駁	爻
弼	弗
羸	嬴
衍侃	永
