#待校
#####從省從古字型編外的#####
包	勹
壽	𠃬𢏚𠷎
匘	𡿺
叔	尗
冬	𠔾𠂂
垖	𠂤
退	𢓴
宿	𠈇佰
夙	𠈇佰
尊	寸
歸	㱕
昷	𥁕
孝老	耂
首	𦣻
農	莀
憂	㥑
專	叀
瑣	𧴪
巽	𠨎
共	廾
㱿	𡉉
亂	𤔔
⺽	𦥑
備	𤰇
儥	𧶠
瞢	𮎳
沒	𠬛𠬸
時	旹
戴	戠
殿	𡱂
塞	𡨄
侵	𠬶
㥯	𤔌
贛	𥪴
釐	𠩺
傝	𦐇
霸	䩗
氾	㔾
罔	网
錽	𡕢
襄	𤕦
嘆	𦰩
粲	𣦼
散	㪔
殺	杀
鑿	凿
吾	五
#五吾	㐅
競竟	竞
綌	𧮫谷
枿	卉
化	𠤎
咶	𠯑舌
處	処
隙	𡭴
剌賴	𣏮束
肇	肁
徹	𬴲𰕎
憲	𡩜
傝	𦐇
微	𢼸
頤	𦣞
哉	𢦏
畢	𠦒
秭	𠂔
親	亲
淵	𣶒囦
派	𠂢
秭	𠂔
啓	𢼄𢻻
熒	𬊇𤇾
緜	綿
爾	尒
遣	𠳋
麗	丽
嬴羸	𣎆
#羅	罒
#####從上級聲旁的#####
冒	冃
追	𠂤
蚤	㕚
翠	卒
考	丂
坴圥	六
畾	雷
累	厽
育	𠫓
遂	㒸
豚	豕
筆	聿
酋	酉
崇	宗
褱	眔
府	付
科	禾
奉夆豐封邦逢	丰
蒙	冡
尌	壴
重童	東
屬	蜀
聚	取
悤	囪
從	从
空巩貢	工
斛	角
卷	龹
數	婁
庸#甬	用
貫	毌
否	不
背	北
卞	弁
盆	分
費	弗
薨	瞢
任	壬
在哉	才
吏事	史
賊	則
朁兓	兂
岑	今
既	旡
愛	㤅
禽	今
右	又
穹	弓
員袁睘	〇
熊	能
翌	異
波	皮
番	釆
發癹	癶
孟	皿
莽	茻
屠諸署暑豬	者
黨堂敞	尚
到	刀
危	厃
然	肰
難	𦰩
虘查助	且
將臧壯	爿
喪	桑
霜	相
孱	孨
蔡	祭
賈	襾
固胡辜	古
渠	巨
英	央
哥	可
旱	干
晏	安
匽	妟
丐曷	匄
獻	鬳
艾	乂
肴	爻
瞿	䀠
雩	于
晃	光
廣	黃
㞷匡狂	王
咼叧	冎
雚	雈
宛	夗
厥	欮
閭	呂
盧虜慮	虍
虖	乎
客	各
厲	萬
#與舁	与
與	舁
亨	享
赫	赤
侃	衍
達羍	大
除	余
閻	臽
毘坒	比
鼻	畀
密謐	必
致	至
圼	日
津	盡
新	辛
節即	卩
耆	旨
殹	医
弦	玄
戛	頁
幼幽	幺
屖	尸
繇	䍃
崩	朋
敝	㡀
幂	冖
覓	𠂢
寧	寍
責	朿
前	歬
韱	㦰
嬰	賏
鬩	兒
匽	妟
㓞	丯
堯	垚
厭	猒
歷厤	秝
聖廷呈	𡈼
枼	世
霸	䩗
#####替代的#####
夒	柔
舛	春
獸	守
造艸棗	屮
咎韭	九
學	𦥑⺽𦥯
坤	昆
鬱	尉
劉	留
磊	厽
帥	率
昱	𠫓
牟	矛
牡	戊
菐剝	卜
兜鬥	豆
朵	垂
㚇	囪
竄	算
厚後	后
寇	口
躬	宮
哭	𡉉㱿
岳	獄
㔷屚	婁
粟	束
隓	隋
奪	兌
婦	負
佩	咅
奮糞焚彬	分
弼乀	弗
畞	母
陟	直
塵	㐱
灾	才
夨	則
筋	斤
殷	㥯
嵒	乑
囗	韋
閵	吝
辭	司
曇	冘
龖	習
煩繁緐	棥
拜	貝
罰	伐
昶	長
廛	亶
筮	帶
葬	爿
蠱	夃
戟	丮
虔	建
魯	鹵
旅	呂
肇	兆
鹽	炎
彪	髟
疐	帝
褭	鳥
兕	犀
胤	引
逸	䏌
晶	青
尐	截
繭	見
魝孑	丯
耿	巠
轟	訇
杳	要
閑	閒
龠	翟
#####同形的#####
肘	寸
唯椎淮	隹
㡿	斥	#一說此訛形
蟲虺	虫
鰥	眔
狖冗	宂
橇	毳
奔賁	卉
噩	咢
