#罕見聲首，替換爲同音聲首
#####異體字（篆書已有，後世混用或棄用）#####
汓囚	泅
玊夙	㓘
辠罪	罪
災灾	灾
仝同	同
犇奔	奔
㚘半	伴
虣暴	暴
朢亡	望
麤且	粗
湌粲	餐
鱻鮮	鮮
尟鮮	鮮
圉吾	圄
馭御	御
姦干	奸
䵞京	黥
羴亶	羶
邍原	原
昶昜	暢
觱畢	滭
昚真	慎
甽犬	畎
亖四	四
丽麗	麗
籴翟	糶
粜翟	糶
嬽肙	娟
㱚戔	殘
#####罕見的聲旁#####
鴇保	二級
鳧付	表外，聲𠘧，𠘧同俯，象形
鯀昆	二級
圂昆	二級
頯皀	表外
夔鬼	三級
蒐叟	三級
飧孫	二級
褎由	表外
鼀就	一級（異體），竈，同灶
甤惢	表外
㕟凷	表外
纍畾	一級（異體）
牖秀	二級
羑久	二級
禸柔	表外
馵主	表外
斲豆	一級（異體）
奻耎	表外
筭祘	表外
爨全	二級
竵咼	表外
蓏累	三級
㼌臾	表外
兗㕣	表外
僰北	二級
轡非	二級
朏非	三級
豩分	表外
鬽未	表外
釁衅	一級（有後起異體）
欻忽	三級
疢㐱	三級
迺乃	三級
#蚝哉	二級
畟則	二級
㗊咠	表外
毐矣	三級
䨳希	表外
巹斤	表外
猌艮	表外
㹜艮	表外
䖜艮	表外
頮灰	表外
寣勿	表外
盭戾	表外
譶沓	表外
帇內	表外
亳尃	二級
奤尃	表外
芇㒼	表外
橐石	二級
䚘爿	表外
芟彡	二級
䨿卅	表外
斝叚	三級
貈各	表外
舝害	表外
㕢害	表外
杲高	二級
顥夰	二級
䲜業	表外
㕦華	表外
臦冋	表外
虢郭	二級
氒欮	表外
冏冋	三級
輦連	二級
拶祭	三級
㓹曷	三級
砅列	表外
奭赤	二級
裔曳	二級
彘帶	二級
聅徹	表外
䩶展	表外
覞兆	表外
弢兆	三級
鬯昜	三級
㶣炎	表外
夵炎	表外
旵甚	三級
茍亟	表外
肸乞	三級
亳尃	二級
誗炎	表外
奰備	三級
馽執	表外
黹氐	三級
臸日	表外
甡卂	三級
燊卂	三級
䡓肙	表外
㩊夐	表外
蠲肙	二級
彝夷	二級
盩舟	表外
孴㬎	表外
驫髟	三級
淼少	三級
嬲鬧	表外
㘝聶	表外
喦聶	表外
禼切	一級
燮妾	二級
巵只	二級
醯兮	二級
虤幵	三級
炅冋	二級
#㕡赫	二級
㡲睘	表外
㫐杳	表外
詈麗	二級
㸚麗	表外
廌豸	表外
㿟交	表外
皛交	三級
壼困	三級
矨巠	表外
黁閏	表外
蘸韱	二級
蕆展	三級
閐宋	表外
焸古	表外
尐截	表外
睰蔑	表外
覡毄	二級
贙玄	表外
覎奄	二級
砉狊	三級
䭆耳	表外
䭴睘	表外
梟堯	二級
兕矢	二級
