#待校
#####毫無根據的#####
斷	紤
蠱	蛊
樂	䊾
壽	沺
淵	囦
聯䜌	絲
興	挏
解	㓩
筋	觔
尋	寻
亂	乱
辭	辞
傘	仐
塵	尘
#實	⿱宀毌
#巽	⿰㔾㔾
幾	𥾮㓜
#####從省從古字型編外的#####
#包	勹
匘	𡿺
叔	尗
追垖	𠂤
退	𢓴
宿	𠈇佰
尊	寸
歸	㱕
昷	𥁕
#孝老	耂
#道首	𦣻
道	首
農	莀
憂	㥑
瑣	𧴪
巽	𠨎
共	廾
㱿	𡉉
亂	𤔔
⺽	𦥑
備	𤰇
儥	𧶠
瞢	𥄕𮎳
沒	𠬸
殿	𡱂
塞	𡨄𡫳
侵	𠬶
㥯	𤔌
贛	𥪴
釐	𠩺
傝	𦐇
罔	网
錽	𡕢
襄	𤕦
#難嘆	𦰩
難嘆	堇
粲	𣦼
散	㪔
殺	杀
鑿	凿
五吾	㐅
競竟	竞
綌	卻
枿	卉
化	𠤎
咶	𠯑舌
處	処
隙	𡭴
肇	肁
徹	𬴲𰕎
憲	𡩜
微	𢼸
頤	𦣞
畢	𠦒
秭	𠂔
親	亲
秭	𠂔
啓	𢼄𢻻
熒	𬊇炏
爾	尒
遣	𠳋
麗	丽
嬴羸	𣎆
信	㐰
#####從上級聲旁的#####
冒	冃
蚤	㕚
翠	卒
考	丂
坴圥	六
畾	雷
累	厽
#育㐬	𠫓
遂	㒸
筆	聿
酋	酉
崇	宗
府	付
科	禾
奉夆豐封邦逢	丰
蒙	冡
尌	壴
重童	東
屬	蜀
最聚	取
悤	囪
從	从
空巩貢	工
斛	角
#卷	龹
龹	卷
數	婁
庸#甬	用
貫	毌
否	不
背	北
卞	弁
盆彬	分
費	弗
薨	瞢
任	壬
#哉	𢦏
在哉	才
吏事	史
賊	則
朁兓	兂
既	旡
愛	㤅
禽	今
右	又
員袁睘	〇
熊	能
波	皮
番	釆
#發癹癶	𣥠
發	癹
孟	皿
莽	茻
屠諸署暑豬都著書	者
黨堂敞當	尚
到	刀
#危	厃
然	肰
虘查助	且
將臧壯	爿
喪	桑
霜	相
孱	孨
蔡	祭
賈	襾
固胡辜	古
渠	巨
英	央
哥	可
旱	干
晏	安
匽	妟
丐曷	匄
獻	鬳
艾	乂
肴	爻
矍瞿	䀠
晃	光
廣	黃
㞷匡狂	王
咼叧	冎
雚	雈
宛	夗
厥	欮
閭	呂
盧虜慮	虍
虖	乎
路客	各
厲	萬
與	舁
#亨	享
達羍	大
除	余
閻	臽
毘坒比	匕
鼻	畀
密宓謐	必
致室	至
圼	日
盡	津
新	辛
節即	卩
稽耆	旨
殹	医
弦	玄
幼幽	幺
屖	尸
繇	䍃
崩	朋
敝	㡀
#幂	冖
覓派	𠂢
寧	寍
責	朿
前	歬
韱	㦰
嬰	賏
鬩	兒
㓞	丯
堯	垚
厭	猒
歷厤	秝
聖廷呈	𡈼
枼	世
霸	䩗
繁	緐
國	或
條	攸
闌	柬
御卸	午
義	我
衛	韋
鹽	監
施	也
等特	寺
時市蚩臺志	㞢
尃	甫
亭	丁
式代	弋
庶度席橐宕	石
那	冄
亶	旦
春	屯
風	凡
焚	棥
布	父
盍	去
嚴	敢
喬	高
砉	圭
弘穹	弓
景	京
局	句
麋	米
麥猌	來
胥楚	疋
巟	亡
感	咸
烕	戌
忽	勿
養	羊
哀	衣
夜	亦
屑	䏌
恩	因
雩	亏
位	立
完	元
旬	勻
字	子
㕟蒯	凷
褱鰥	眔
遺	貴
#君	尹
屈	出
專	叀
思	囟
閔#吝	文
#禁	林
#台	㠯
#普	並
旁	方
#百	白
#表	毛
展	㠭
#匿	若
貞鼎	貝
脅	劦
劉留	卯
廉	兼
#####替代的#####
#學	𦥯
學	𦥑⺽
磊	厽
彪	髟
#####同形的#####
肘	寸
唯椎淮	隹
㡿	斥	#一說此訛形
蟲虺	虫
狖冗	宂
橇	毳
奔賁	卉
噩	咢
#####省形同#####
駁	爻
掃	帚
刪	冊
牆	嗇
役	殳
敦	享
剌賴	束
