#罕見聲首，替換爲同音聲首
#####異體字（篆書已有，後世混用或棄用）#####
囚	汓	# 泅
夙	玊	# 㓘
罪	辠	# 罪
灾	災	# 灾
同	仝	# 同
奔	犇	# 奔
暴	虣	# 暴
亡	朢	# 望
且	麤	# 粗
粲	湌	# 餐
鮮	鱻	# 鮮
鮮	尟	# 鮮
吾	圉	# 圄
干	姦	# 奸
京	䵞	# 黥
亶	羴	# 羶
原	邍	# 原
昜	昶	# 暢
畢	觱	# 滭
真	昚	# 慎
犬	甽	# 畎
四	亖	# 四
麗	丽	# 麗
翟	籴	# 糶
翟	粜	# 糶
肙	嬽	# 娟
戔	㱚	# 殘
#####罕見的聲旁#####
保	鴇	# 二級
付	鳧	# 表外，聲𠘧，𠘧同俯，象形
昆	鯀	# 二級
昆	圂	# 二級
皀	頯	# 表外
鬼	夔	# 三級
叟	蒐	# 三級
孫	飧	# 二級
由	褎	# 表外
灶	鼀	# 一級（異體），竈，同灶
惢	甤	# 表外
凷	㕟	# 表外
畾	纍	# 一級（異體）
秀	牖	# 二級
久	羑	# 二級
柔	禸	# 表外
主	馵	# 表外
豆	斲	# 一級（異體）
耎	奻	# 表外
祘	筭	# 表外
全	爨	# 二級
歪	竵	# 表外
累	蓏	# 三級
臾	㼌	# 表外
㕣	兗	# 表外
北	僰	# 二級
非	轡	# 二級
非	朏	# 三級
分	豩	# 表外
未	鬽	# 表外
衅	釁	# 一級（有後起異體）
忽	欻	# 三級
㐱	疢	# 三級
乃	迺	# 三級
# 哉	蚝	# 二級
則	畟	# 二級
咠	㗊	# 表外
# 矣	毐	# 三級
希	䨳	# 表外
斤	巹	# 表外
艮	猌	# 表外
艮	㹜	# 表外
艮	䖜	# 表外
灰	頮	# 表外
勿	寣	# 表外
戾	盭	# 表外
沓	譶	# 表外
內	帇	# 表外
尃	亳	# 二級
尃	奤	# 表外
㒼	芇	# 表外
石	橐	# 二級
爿	䚘	# 表外
彡	芟	# 二級
卅	䨿	# 表外
叚	斝	# 三級
各	貈	# 表外
害	舝	# 表外
害	㕢	# 表外
高	杲	# 二級
夰	顥	# 二級
業	䲜	# 表外
華	㕦	# 表外
冋	臦	# 表外
郭	虢	# 二級
欮	氒	# 表外
冋	冏	# 三級
連	輦	# 二級
祭	拶	# 三級
曷	㓹	# 三級
列	砅	# 表外
赤	奭	# 二級
曳	裔	# 二級
帶	彘	# 二級
徹	聅	# 表外
展	䩶	# 表外
兆	覞	# 表外
兆	弢	# 三級
昜	鬯	# 三級
炎	㶣	# 表外
炎	夵	# 表外
甚	旵	# 三級
亟	茍	# 表外
乞	肸	# 三級
尃	亳	# 二級
炎	誗	# 表外
備	奰	# 三級
執	馽	# 表外
氐	黹	# 三級
日	臸	# 表外
卂	甡	# 三級
卂	燊	# 三級
肙	䡓	# 表外
夐	㩊	# 表外
肙	蠲	# 二級
夷	彝	# 二級
舟	盩	# 表外
㬎	孴	# 表外
髟	驫	# 三級
少	淼	# 三級
鬧	嬲	# 表外
聶	㘝	# 表外
聶	喦	# 表外
切	禼	# 一級
妾	燮	# 二級
只	巵	# 二級
兮	醯	# 二級
幵	虤	# 三級
冋	炅	# 二級
# 赫	㕡	# 二級
睘	㡲	# 表外
杳	㫐	# 表外
麗	詈	# 二級
麗	㸚	# 表外
交	㿟	# 表外
交	皛	# 三級
困	壼	# 三級
巠	矨	# 表外
閏	黁	# 表外
韱	蘸	# 二級
展	蕆	# 三級
宋	閐	# 表外
古	焸	# 表外
截	尐	# 表外
蔑	睰	# 表外
毄	覡	# 二級
玄	贙	# 表外
奄	覎	# 二級
狊	砉	# 三級
耳	䭆	# 表外
睘	䭴	# 表外
堯	梟	# 二級
矢	兕	# 二級
貫	丱	# 表外
